OBJECTID,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_infraspecific_name,taxon_category_name,scientific_name,common_name,taxon_rank,SHAPE,long,lat,center_x,center_y
76860718,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,jamaicensis,,Aves,Buteo jamaicensis,Red-tailed Hawk,species,"{'x': -122.96152659599994, 'y': 38.02721908900003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96152659599994,38.02721908900003,-122.90530061399994,38.02782775950004
80645476,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,alpina,,Aves,Calidris alpina,Dunlin,species,"{'x': -122.96152659599994, 'y': 38.02721908900003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96152659599994,38.02721908900003,-122.90530061399994,38.02782775950004
141198595,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.96152659599994, 'y': 38.02721908900003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96152659599994,38.02721908900003,-122.90530061399994,38.02782775950004
81688474,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,californicus,,Aves,Larus californicus,California Gull,species,"{'x': -122.96151710199996, 'y': 38.027430424000045, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96151710199996,38.027430424000045,-122.90530061399994,38.02782775950004
18591542,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Hesperocyparis,macrocarpa,,Plantae,Hesperocyparis macrocarpa,Monterey Cypress,species,"{'x': -122.96146333299998, 'y': 38.02835550000003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96146333299998,38.02835550000003,-122.90530061399994,38.02782775950004
145349179,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.96152230199999, 'y': 38.02736762500007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96152230199999,38.02736762500007,-122.90530061399994,38.02782775950004
74154061,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotrichia,leucophrys,nuttalli,Aves,Zonotrichia leucophrys nuttalli,Nuttall's White-crowned Sparrow,subspecies,"{'x': -122.96148730099998, 'y': 38.02804038200003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96148730099998,38.02804038200003,-122.90530061399994,38.02782775950004
115525025,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.96153591399997, 'y': 38.02713258500006, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96153591399997,38.02713258500006,-122.90530061399994,38.02782775950004
137790905,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,pilularis,,Plantae,Baccharis pilularis,coyote brush,species,"{'x': -122.91808609999998, 'y': 38.06978510000005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.91808609999998,38.06978510000005,-122.90530061399994,38.02782775950004
116372879,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.96153171999998, 'y': 38.02727474000005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96153171999998,38.02727474000005,-122.90530061399994,38.02782775950004
53540940,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,corax,,Aves,Corvus corax,Common Raven,species,"{'x': -122.96149833299995, 'y': 38.02792333300005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96149833299995,38.02792333300005,-122.90530061399994,38.02782775950004
116428203,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,rustica,,Aves,Hirundo rustica,Barn Swallow,species,"{'x': -122.96149257699994, 'y': 38.02802985400007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96149257699994,38.02802985400007,-122.90530061399994,38.02782775950004
16287720,Animalia,Echinodermata,Echinoidea,Echinolampadacea,Dendrasteridae,Dendraster,excentricus,,Other,Dendraster excentricus,Eccentric Sand Dollar,species,"{'x': -122.96155499999998, 'y': 38.02673050000004, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96155499999998,38.02673050000004,-122.90530061399994,38.02782775950004
61300036,Animalia,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,atratus,,Reptilia,Thamnophis atratus,Aquatic Garter Snake,species,"{'x': -122.87261166699994, 'y': 38.02866116700005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.87261166699994,38.02866116700005,-122.90530061399994,38.02782775950004
